Jackson Purchase Medical Center ,"2,962",21.40%,"8,763",63.30%,"1,533",11.10%,578,4.20%,"13,83"
Lourdes Hospital ,"7,273",16.50%,"27,476",62.20%,"7,247",16.40%,"2,210",5.00%,"44,20"
Marshall County Hospital ,224,9.00%,"1,979",79.20%,246,9.80%,51,2.00%,"2,50"
Murray-Calloway County Hospital ,"3,346",18.50%,"9,260",51.10%,"5,145",28.40%,368,2.00%,"18,11"
Parkway Regional Hospital ,503,22.70%,"1,473",66.50%,160,7.20%,78,3.50%,"2,21"
Western Baptist Hospital ,"10,110",16.80%,"34,195",56.90%,"13,145",21.90%,"2,669",4.40%,"60,11"
Baptist Health Madisonville ,"7,923",20.80%,"21,439",56.20%,"6,614",17.40%,"2,141",5.60%,"38,117"
Caldwell Medical Center ,108,7.40%,879,60.30%,394,27.00%,76,5.20%,"1,457"
Crittenden Health System ,624,18.70%,"1,951",58.50%,654,19.60%,104,3.10%,"3,333"
Cumberland Hall ,"3,922",19.60%,"1,780",8.90%,"2,253",11.30%,"12,033",60.20%,"19,988"
Jennie Stuart Medical Center ,"4,679",29.60%,"6,669",42.10%,"3,807",24.10%,672,4.20%,"15,827"
Livingston Hosp & Healthcare Services ,595,20.10%,"1,925",64.90%,364,12.30%,81,2.70%,"2,965"
Muhlenberg Community Hospital ,"1,627",26.30%,"1,683",27.20%,"2,176",35.20%,695,11.20%,"6,181"
Trigg County Hospital ,30,5.20%,464,80.00%,76,13.10%,10,1.70%,580
Methodist Hospital ,"5,726",33.60%,"4,457",26.10%,"6,626",38.80%,257,1.50%,"17,066"
Methodist Hospital - Union County ,301,18.90%,440,27.60%,812,50.90%,42,2.60%,"1,595"
Ohio County Hospital ,293,11.70%,"1,616",64.60%,470,18.80%,123,4.90%,"2,502"
Owensboro Medical Health System ,"14,638",20.00%,"39,597",54.00%,"15,321",20.90%,"3,796",5.20%,"73,352"
River Valley Behavioral Health ,"2,478",77.90%,,,572,18.00%,130,4.10%,"3,180"
Caverna Memorial Hospital ,92,11.80%,576,73.80%,90,11.50%,23,2.90%,781
Commonwealth Regional Specialty Hospital ,142,2.30%,"5,714",91.00%,426,6.80%,,,"6,282"
Greenview Regional Hospital ,"2,024",12.90%,"10,486",66.80%,"2,600",16.60%,594,3.80%,"15,704"
Logan Memorial Hospital ,628,12.50%,"3,825",76.30%,499,10.00%,61,1.20%,"5,013"
Monroe County Medical Center ,979,14.50%,"5,142",76.30%,523,7.80%,96,1.40%,"6,740"
Rivendell Behavioral Health Services ,"9,819",61.60%,"4,153",26.00%,"1,406",8.80%,573,3.60%,"15,951"
Southern Kentucky Rehabilitation Hospital ,"1,819",11.10%,"11,758",72.00%,"2,407",14.70%,345,2.10%,"16,329"
T J Samson Community Hospital ,"5,434",26.70%,"10,421",51.20%,"3,506",17.20%,"1,004",4.90%,"20,365"
The Medical Center at Bowling Green ,"18,282",21.20%,"49,104",56.90%,"16,918",19.60%,"2,044",2.40%,"86,348"
The Medical Center at Franklin ,289,9.60%,"2,202",73.10%,420,13.90%,103,3.40%,"3,014"
The Medical Center at Scottsville ,152,13.10%,869,74.70%,102,8.80%,40,3.40%,"1,163"
